Rotate up signal missing,Loose cable,,,,,,H7,Y,10/26/16,,10/26/16,,Jeff Rusk,Steve Andreozzi,,D26036,cable,,loose/ missing,,,
Spindle #11 stuck in flange,Removed and polished quill -reinstalled,,,,,,H25,S/U,10/27/16,545,10/27/16,800,Ryan Schuler,Anthony Paolillo,,J1028,spindle/ flange,,stuck,remove/ install,11,
Tool position #1 jammed,Removed head and freed binding action for tool post #1,,,,,,ES4,Y,10/27/16,715,11/2/16,,Sam Jett,Jon cousineau,,D26017,head/ tool/ position,,jam,remove,,
Bar feeder pressure valve broken,Replaced missing set screw on pressure knob!,bar_feeder/ pressure_valve/ set_screw,broken/ missing,replace,set_screw,,H5,N,10/27/16,1400,10/28/16,,Russ Francis,Anthony Paolillo,,CS1000,valve/ screw/ pressure/ feeder,,broken/ missing,replace/ set,bar,
Chip conveyor jam,Cleared,chip_conveyor/ conveyor,jam,clear,chip_conveyor/ conveyor,,I3,N,10/27/16,,10/27/16,,Jeff Rusk,Alex Breault,,Afco,conveyor/ chip,,jam,clear,,
Low hydraulic pressure ????,Accumulator 10bar low -> charged,hydraulic,low,charge,accumulator/ low_pressure,,H20,Y,10/28/16,1400,10/28/16,1700,Jeff Rusk,Steve Andreozzi,,CS1002,hydraulic/ accumulator/ pressure,,,charge,low,
Workpiece loader not returning,Found air valve shut off,,,,,,I3,Y,10/28/16,,10/28/16,,Jeff Rusk,Steve Andreozzi,,Afco,valve/ loader/ air,,,,returning/ shut,
St#2 XD head bearings check,Swapped,,,swap,,,H20,Y,10/29/16,600,10/29/16,,Bruce Fletcher,Marcel Lefebvre,,CS1002,station/ bearing/ head/ cross_drill,,,check/ swap,,
Offload conveyor will not move,Operator cleared chips,offload_conveyor/ conveyor,will_not_move,clear,jam,,I5,Y,10/31/16,530,10/31/16,600,Norm Neveux,,,CS1002,conveyor/ chip/ operator/ offload,,,clear,,
Canister filter housing for HP pump stripped,Replaced Donaldson filter head,,,,,,H26,Y,10/31/16,530,10/31/16,,Sinat Check,Anthony Paolillo,,AL2014,pump/ head/ filter/ housing,,strip,replace,hp,
Breaker repeatedly tripping --Coolant?,Disconnected mag scraper motor,,,,,,H29,Y,10/31/16,530,10/31/16,,Sinat Check,Anthony Paolillo,,AL2017,motor/ coolant/ breaker/ scraper,trip,trip,,,
False vogel lube alarms,Swapped unit and repaired (relay ) unit removed,,,,,,H4,N,10/31/16,530,10/31/16,,Bruce Fletcher,Steve Andreozzi,,KS6022,unit/ vogel/ lubrication/ relay,lubrication,alarm,repair/ remove/ swap,,
Oil pump wires sparking -machine lost power,Rewired with new cable,,,,,,SC10,Y,10/31/16,530,10/31/16,,Bruce Fletcher,Steve Andreozzi,,D26037,machine/ pump/ cable/ oil,,,,new/ power,
Oil pump pressure fluctuating 40psi to 100psi -Filter OK,Cleaned intake screen at HP check valve,,,,,,TK2,N,10/31/16,530,11/2/16,730,Jared Watson,Jon Cousineau,,J1023,valve/ pump/ pressure/ oil/ filter/ screen/ intake,,,check/ clean/ ok,hp,
Consuming excess hydraulic fluid,Indexer found leaking (11/2) - Indexer rebuilt 11/5,,,,,,H21,N,10/31/16,530,11/5/16,,Ryan Schuler,Anthony Paolillo,,D22978,hydraulic/ index,,leak,rebuild,11/ excessive,
Track #1 Channel guides #1 and #2 will not stay open,,,,no_action_taken,,,I5,N,10/31/16,530,,,Norm Neveux,Jon Cousineau,,CS1002,guide/ channel,,,,track/ open,
Side A door interlock NOK,Replaced interlock with new,,,,,,I4,Y,10/31/16,600,10/31/16,700,Sam Jett,Jon Cousineau,,Afco,door/ interlock,,broken,replace,new,
Chuck cylinder pressure will not taper off,Cycled power and started machine,,,,,,I2,Y,10/31/16,600,10/31/16,615,Sam Jett,Jon Cousineau,,Afco,machine/ pressure/ cylinder,,,,power/ cycle,
Electrical cabinet cooling fan broken off mounting,Replaced cooling fan with new,,,,,,I19,N,10/31/16,630,10/31/16,830,Norm Neveux,Jon Cousineau,,J1023,electrical/ fan/ cabinet,,broken,replace,new/ cooling/ mounting,
Chip conveyor INOP,Removed base and oil to access broken paddle binding conveyor. Refilled with Baycut 150x cutting oil and Hyd ISO 46 hydraulic oil,chip_conveyor/ conveyor/,inoperable,refill,oil,,H12,Y,10/31/16,700,10/31/16,1500,Sam Jett,Anthony Paolillo,,TRW,hydraulic/ conveyor/ chip/ base/ oil,,broken/ inoperable,remove,cutting,
Leaking hose attached to st#10 coolant position,Hoses being made by SS (11/4),,,,,,H22,N,10/31/16,1100,,,Tyler Cotter,Anthony Paolillo,,AL2014,station/ coolant/ hose/ position,,leak,,10-Nov,
Leak in Auto fill pipe to rinse tank,Replaced broken nipple on ball valve,,,,,,W99,N,10/31/16,1245,10/31/16,,Mike Comptios,Alex Breault,,FPI,valve/ tank/ ball,,broken/ leak,replace,auto,
Leak in feed line to rinse tank,Repaired leaking pipe fitting,,,,,,Jenfab,N,10/31/16,1245,10/31/16,,Mike Comptios,Steve Andreozzi,,,line/ fitting/ tank,,leak,repair,feed,
Slide cam roll pin broken,Replaced broken roll bolt,,,,,,A77,Y,10/31/16,1400,11/1/16,,Jorge Flores,Alex Breault,,T7065,pin/ slide/ bolt,,broken,replace,roll,
Requires additional chip guard -See Alex,Installed,,,install,,,H29,N,10/31/16,1400,11/1/16,,Tyler Cotter,Anthony Paolillo,,AL2014,chip/ guard/ person,,,install/ require,,
Low coolant flow reported,Filed the coolant reservoir and found low pressure on one side of machine -Blew out oil line!,,,,,,H12,Y,10/31/16,,10/31/16,,Jeff Rusk,Steve Andreozzi,,TRW,coolant/ machine/ pressure/ oil/ line/ flow,,,report,low,
CB17 brush unit breaker tripping,Replaced motor starter and corrected loose connection,cb_17/ brush_unit/ breaker,trip/ loose,replace/ adjust,motor_starter/ connection,,H30,Y,11/1/16,600,11/1/16,1000,Sam Jett,Marcel Lefebvre,,KS6011,unit/ motor/ breaker/ brush/ connector/ starter,trip,loose/ trip,replace/ correct,,
Swap St#3 Recess Spindle,Swapped for rebuilt unit on shelf -Also replaced worn pulley hub,,,,,,H8,N,11/1/16,600,11/1/16,1000,Ryan Schuler,Anthony Paolillo,,CS1001,station/ unit/ spindle/ pulley/ hub/ shelf,,worn,replace/ rebuild/ swap,,
CB5 breaker tripping,,,,no_action_taken,,,H36,Y,11/1/16,600,,,Sam Jett,Marcel Lefebvre,,KS6021,breaker,trip,trip,,,
Chips wrapped in both turrets,Removed/ cleaned/ and realigned both A and B turrets,,,,,,I3,Y,11/1/16,,11/1/16,1000,David Lippy jr,Jon Cousineau,,Afco,chip/ turret,,,remove/ clean/ align,,
Broken feeder chain,Repaired,feeder/ chain,broken,repair,feeder/ chain,,H23,Y,11/1/16,,11/1/16,,Jeff Rusk,Alex Breault,,KS6022,chain/ feeder,,broken,repair,,
Alarm 763051 Coolant clearing system motor protection,Reduced vacuum pump flow rate,,,,,,I18,S/U,11/1/16,,11/2/16,1400,Norm Neveux,Jon Cousineau,,NB1020,motor/ coolant/ pump/ flow,,alarm,,,
St#t Vertical touching St#6 XD head,Flipped bleeder valve around,,,,,,H25,S/U,11/1/16,,11/2/16,630,Sam Jett,John Murray,,J1028,station/ valve/ head/ cross_drill/ vertical,,,,,
Multiple Vogel lube faults,Replaced bad hose,,,,,,H33,Y,11/2/16,500,11/2/16,600,Bruce Fletcher,Anthony Paolillo,,DS1001,hose/ vogel/ lubrication,lubrication,broken/ fault,replace,,multiple
Dust collector not sucking in air,Removed paper and rags from intake,,,,,,Buffer,Y,11/2/16,700,11/2/16,1000,Mike Comptios,Mike Lowell,,Cooper,air/ collector/ intake,,,remove,,
Replace leaking dresser control valve,Replaced,dresser_control_valve/ dresser/ control_valve/ valve/,replace/ leak,replace,dresser_control_valve/ dresser/ control_valve/ valve/,,RM 224,N,11/2/16,730,11/3/16,1000,Jon Clark,Denis Kusiak,,,valve,,leak,replace,control,
Replace leaking dresser control valve,Replaced,dresser_control_valve/ dresser/ control_valve/ valve/,replace/ leak,replace,dresser_control_valve/ dresser/ control_valve/ valve/,,RM 226,N,11/2/16,730,11/4/16,800,Jon Clark,Denis Kusiak,,,valve,,leak,replace,control,
Replace leaking dresser control valve,Replaced,dresser_control_valve/ dresser/ control_valve/ valve/,replace/ leak,replace,dresser_control_valve/ dresser/ control_valve/ valve/,,RM 222,N,11/2/16,730,11/9/16,,Jon Clark,Steve Andreozzi,,,valve,,leak,replace,control,
Oil leak -PVC piping,Loose union tensioned,,,,,,ES6,N,11/2/16,,11/2/16,,Jeff Rusk,Alex Breault,,D26017,oil,tension,leak/ loose,tension,,
Iemca panel control display failure,New controller purchased and installed,,,,,,SC2,N,11/2/16,,11/8/16,1000,Steve Salley,Denis Kusiak,,J1020,iemca/ controller/ panel,,failure,install,new/ control,
Red in light stack INOP,Repaired,,,repair,,,SC2,N,11/2/16,,11/14/16,1430,Steve Salley,Alex Breault,,J1020,light,,inoperable,repair,,
Workzone light INOP,,workzone_light/ light,inoperable,no_action_taken,,,SC5,N,11/2/16,,,,Steve Salley,Steve Andreozzi,,T7530,light,,inoperable,,,
Workzone light INOP,,workzone_light/ light,inoperable,no_action_taken,,,SC10,N,11/2/16,,,,Steve Salley,Steve Andreozzi,,D26014,light,,inoperable,,,
Heavy vibration -OOR parts and poor finish,Orlando adjusting balancer,,,,,,Tsch 1,Y,11/3/16,600,,,Jon Clark,Denis Kusiak,,Denso,part,,,adjust,,
Poor finish from boring cut CNC,Cleaned glass scales (reported to be gunked up) - Swapped draw bar at St#3 recess spindle to use 30 series recess head,finish/ boring_cut,poor,clean/ swap,glass_scale/ draw_bar/ st_3/ recess_spindle/ spindle,,H15,N,11/3/16,600,,,Bob Berthiaume,Marcel Lefebvre,,CS1001,station/ spindle/ head/ cnc,,,clean/ swap/ report,bar/ cut/ used/ 30,
Align XD heads,Worked with Gio on aligning the cross drill cut,,,,,,H25,S/U,11/3/16,800,11/3/16,1230,Jerry,John Murray,,J1028,head/ drill/ cross_drill/ cross,,,align,cut,
Weld required -not on seal tray to secure tray,,,,no_action_taken,,,EDM 2,N,11/3/16,1200,,,Roger Getter,,,,,,,require/ weld,seal,
Reseal leaking glass on splash guard,Resealed window,,,,,,A83,N,11/3/16,1400,11/4/16,,Jerry,Alex Breault,,Sen,guard,,leak,,,
Table not indexing,No issue found -Operator reporting the machine as running fine.,table,will_not_index,no_problem_detected,,,H19,Y,11/4/16,615,11/4/16,700,Bruce Fletcher,Anthony Paolillo,,ISO,table/ machine/ operator/ index,,issue,,running,
Vogel lube fault,Replaced leaking fittings X4/ and lines X3,vogel_lube,fault,,,,H25,Y,11/4/16,800,11/4/16,1100,Gio Reyes,Anthony Paolillo,,J1028,vogel/ fitting/ lubrication,lubrication,leak/ fault,replace,,
Accumulator leak at base,Repaired,accumulator/ base,leak,repair,accumulator,,H1,N,11/4/16,800,11/4/16,1100,Gio Reyes,Anthony Paolillo,,TRW,accumulator/ base,,leak,repair,,
Accumulator check -St#10 breaking tools,LP at 25bar charged to 30bar / HP at 50bar,accumulator/ st_10/ low_pressure,low/ check,charge,accumulator/ low_pressure,,H4,N,11/4/16,1030,11/4/16,1230,Russ Francis,Anthony Paolillo,,KS6022,station/ accumulator/ tool/ low_pressure,30bar,,check/ charge,hp/ 10/ 50bar/ 25bar,
St#11 motor falling off,Tightened bolts,,,,,,H25,Y,11/4/16,1030,11/4/16,1030,Sam Jett,Anthony Paolillo,,J1028,station/ motor/ bolt,fall,,tighten,11/ fall,
HP flush valves are stuck open,,,,no_action_taken,,,MS32,N,11/4/16,1030,,,Norm Neveux,Jon Cousineau,,All,valve,,stuck,,hp/ open,
Grinding noise from Reg wheel spndle,Replaced regulating wheel bearing,,,,,,CG231,Y,11/4/16,1430,11/7/16,,Jon Clark,Alex Breault,,D22978,spindle/ bearing/ wheel,,noise,replace,regulating,
Swap stock reels with T91,Swapped,,,swap,,,T103,N,11/4/16,,11/14/16,,Mike LaHouse,Alex Breault,,Advics,stock,,,swap,,
St#10 back end rebuild needed -JPM,Back end bearings and seal replaced,,,,,,H4,N,11/7/16,600,11/7/16,830,Russ Francis,John Murray,,KS6022,station/ bearing/ person,,,replace/ rebuild/ need,10/ end/ seal,
Loose control box,Replaced broken bolts,,,,,,T103,N,11/7/16,600,11/7/16,730,Mike LaHouse,Jon Cousineau,,Advics,bolt/ box,,broken/ loose,replace,control,
Cut Off unit motor contactor fault,Reset button on VFD,,,,,,H8,Y,11/7/16,730,11/7/16,800,Russ Francis,John Murray,,CS1001,unit/ motor/ contactor,,fault,reset,cut,
ON/OFF knob broken at ST#9 valve,Repaired with new part,,,,,,H29,N,11/7/16,800,11/7/16,1215,Gerry Desmarais,Anthony Paolillo,,AL2017,station/ valve,,broken,repair,new,
B side turret leak,Replaced Bronze ring/ seal/ and glide rings Side B turret,,,,,,I2,N,11/7/16,800,11/7/16,1030,Jerry,Jon Cousineau,,Afco,turret/ ring,,leak,replace,seal,
Rotate XD Head for Bob,Rotated XD for opposing 45* hole,,,,,,H11,S/U,11/7/16,1000,11/7/16,1130,Ryan Schuler,Anthony Paolillo,,SEN1002,head/ cross_drill,,,,,
Bar feeder chain broken,Chain not broken but fell off sprocket -reset,bar_feeder/ chain/ bar,broken,reset,chain,,H29,Y,11/7/16,1240,11/7/16,1430,Sam Jett,Anthony Paolillo,,AL2017,chain/ feeder,,broken,reset,bar,
Loading valve prox cable NOK,Replaced Saw Limit and Loading Active proximity switch cables,loading_valve/ valve/ proximity_cable,broken,replace,saw_limit_proximity_switch/ loading_active_proximity_switch/ cable/ proximity_switch/ switch,,H40,Y,11/8/16,500,11/7/16,800,Bruce Fletcher,Anthony Paolillo,,ARC1010,valve/ cable/ prox/ saw,,broken,replace,switch/ load/ limit,
Clutch adjustment requested,Brake lining ordered (11/8) Installed (11/10),,,,,,A76,Y,11/8/16,615,11/10/16,1000,Jorge Flores,Denis Kusiak,,T7065,clutch/ brake,,,request/ install/ adjust/ order,10-Nov,
Broken drive belts,,,,no_action_taken,,,T20,N,11/8/16,615,,,Jan Pawul,Denis Kusiak,,TR 2,belt,,broken,,drive,
Spindle swap for setup,Completed swap,,,,,,H10,S/U,11/8/16,1000,11/8/16,1130,Ryan Schuler,Anthony Paolillo,,J1018,spindle,,,complete/ swap/ setup,,
Remount brushing unit safety guard,Repaired,brush_unit/ safety_guard/ brush_unit_safety_guard,remount,repair,brush_unit/ safety_guard/ brush_unit_safety_guard,,H27,N,11/8/16,1215,11/8/16,1400,Dave Buehler,Anthony Paolillo,,ARC1009,unit/ brush/ safety/ guard,,,repair,,
Remount brushing unit safety guard,Repaired,brush_unit/ safety_guard/ brush_unit_safety_guard,remount,repair,brush_unit/ safety_guard/ brush_unit_safety_guard,,H33,N,11/8/16,1215,11/8/16,1400,Dave Buehler,Anthony Paolillo,,DS1001,unit/ brush/ safety/ guard,,,repair,,
Remount brushing unit safety guard,Repaired,brush_unit/ safety_guard/ brush_unit_safety_guard,remount,repair,brush_unit/ safety_guard/ brush_unit_safety_guard,,H34,N,11/8/16,1215,11/8/16,1400,Dave Buehler,Anthony Paolillo,,AL2014,unit/ brush/ safety/ guard,,,repair,,
ST#5 RA threading -belt broken,Replaced,,,replace,,,H34,Y,11/8/16,,11/8/16,,Jeff Rusk,Alex Breault,,AL2014,station/ belt/ thread,,broken,replace,,
751 Spindle Alarm -Spindle won't move,Swapped Fanuc drive with TK3 to prove out fault -New drive ordered for TK3,,,,,,TK4,Y,11/9/16,530,11/10/16,,Jeff Rusk,Jon Cousineau,,J1023,spindle,,fault/ alarm,swap/ order,new/ drive/ won,
Table stuck at 1/2 index,Replaced 1/2 table valve fuse/ then solenoid after fuse blew again,table/ half_table,stuck,replace,half_table_valve_fuse/ solenoid_valve,,H11,Y,11/9/16,630,11/9/16,1745,Bob Berthiaume,John Murray,,SEN1002,valve/ table/ index/ fuse/ solenoid,,stuck,replace,,
Spindle carrier no external enable alarm,No Issue -Someone cycled power,,,,,,I20,Y,11/9/16,630,,,Bruce Fletcher,Jon Cousineau,,J1024,spindle,,alarm/ issue,,power/ cycle,
C axis fault -Support bearing failure,Replaced support bearing,,,,,,Tsch 2,Y,11/9/16,830,11/9/16,1200,Jon Clark,Denis Kusiak,,TRW,bearing/ axis,,fault/ failure,replace,,
Hyd leak at grind wheel control valve,Replaced valve and rebuilt unit that was removed,hydraulic/ control_valve/ grind_wheel_control_valve/ grind_wheel/ valve,leak,,,,RM 222,N,11/9/16,845,11/9/16,1530,Jon Clark,Steve Andreozzi,,,unit/ valve/ hydraulic/ wheel,,leak,replace/ remove/ rebuild,control/ grind,
Base leaking coolant / Broken adjusting screw on table indexer,Gears out of sinc on table indexing speed control -Reset,base/ adjusting_screw/ table_indexer/ gear,leak/ broken/ out_of_adjustment/ timing,reset,index_speed_control,,H10,N,11/9/16,845,11/10/16,1000,Ryan Schuler,John Murray,,J1018,coolant/ table/ screw/ base/ index/ gear/ speed,,broken/ leak,adjust/ reset,control,
Hyd leak at grind wheel control valve,Replaced valve and rebuilt unit that was removed,hydraulic/ control_valve/ grind_wheel_control_valve/ grind_wheel/ valve,leak,,,,RM 224,N,11/9/16,846,11/9/16,1530,Jon Clark,Steve Andreozzi,,,unit/ valve/ hydraulic/ wheel,,leak,replace/ remove/ rebuild,control/ grind,
HP pump drawing in air -LP INOP,Removed and cleaned LP pump / Replaced gauge on HP pump,,,,,,TK3,Y,11/9/16,900,11/9/16,,Sam Jett,Jon Cousineau,,J1023,pump/ air/ low_pressure,,inoperable,replace/ remove/ clean,hp,
Collet not closing when loaded,Replaced bad coil that was blowing fuse for electronic collet closing valve,,,,,,H7,Y,11/9/16,915,11/9/16,1200,Gio Reyes,John Murray,,D26036,valve/ collet/ fuse/ coil,,broken,replace,closing,
Swap valve at St#10 -Still breaking R Trepan tool,Installed different valve on machine,,,,,,H4,N,11/9/16,1500,11/10/16,700,Ryan Schuler,John Murray,,KS6022,station/ valve/ machine/ tool,,,install/ swap,10,
Side A tuuet coolant leak,Removed turret/ cleaned and reset,,,,,,I1,Y,11/10/16,615,11/10/16,1000,Bruce Fletcher,Jon Cousineau,,T8506,coolant/ turret,,leak,remove/ clean/ reset,,
Accumulator check,LP at 20 bar and 25 bar both charged to 30bar / HP 40bar charged to 50bar,accumulator,check/ low,charge,accumulator/ low_pressure/ high_pressure,,H16,N,11/10/16,800,11/10/16,900,Russ Francis,Sam Jett,,TRW,accumulator/ low_pressure,30bar,,check/ charge,bar/ hp/ 50bar/ 20,
Light stack INOP,Repared,,,,,,Tsch 1,N,11/10/16,900,11/10/16,,Jon Clark,Steve Andreozzi,,Denso,light,,inoperable,repair,,
Machine shuts off mis cycle -Not power maybe clutch?,Pete reports this is a 10 year old issue,,,,,,ES1,N,11/10/16,900,11/14/16,1030,Jerry,Jon Cousineau,,D26017,machine/ clutch,,issue,report,power/ 10/ cycle,
Turret coupling belt broken,No issue reported by Juan -Denis to confirm belt condition 11/15,,,,,,Ewag,Y,11/14/16,600,11/14/16,1000,Jon Clark,Jon Cousineau,,,turret/ belt,,broken/ issue,report,11,
W axis servo faults - cover affecting axis,Repair energy chain / Reinstall cover,,,,,,Tsch 2,Y,11/14/16,600,11/14/16,830,Jon Clark,Jon Cousineau,,,chain/ axis/ cover/ servo,,fault,repair/ install,,
Brush unit stuck forward,Broken lead screw shaft and bad prox cable replaced,brush_unit/ brush/ unit/ lead_screw/ shaft/ proximity_cable,stuck_forward/ broken,replace,lead_screw/ shaft/ proximity_cable,,H10,Y,11/14/16,630,11/15/16,900,Gio Reyes,Anthony Paolillo,,J1018,unit/ screw/ cable/ prox/ brush/ shaft/ lead,,broken/ stuck,replace,forward,
Coolant leak from base,,,,no_action_taken,,,H12,N,11/14/16,630,,,Gio Reyes,,,TRW,coolant/ base,,leak,,,
Exposed wires on chip conveyor / Cooling fan cover fell off,Repaired,wire/ chip_conveyor/ conveyor/ cooling_fan/ cover,expose/ missing,repair,wire/ cover,,SC8,N,11/14/16,800,11/14/16,1430,Steve Salley,Alex Breault,,D26036,conveyor/ chip/ fan/ cover,,,repair,cooling,
Cut Off unit has significant amount of lift/play when compared to others,,,,no_action_taken,,,H34,N,11/14/16,1100,,,Tyler Cotter,,,AL2014,unit,,,,cut/ play,
Leak at base,Leak traced to main colant trunk line -Repaired,,,,,,H29,N,11/14/16,1300,11/16/16,1000,Tyler Cotter,Anthony Paolillo,,AL2014,coolant/ base/ line,,leak,repair,main,
Chip conveyor not running,Replaced motor contactor,chip_conveyor/ conveyor,broken,replace,motor_contactor/ motor,,I4,Y,11/14/16,,11/14/16,,Jeff Rusk,Steve Andreozzi,,Afco,motor/ conveyor/ chip/ contactor,,,replace,running,
St#2 spindle bearings check,Chips in spindle nose destroyed INPO seal/ bearings/ and spindle quill -All replaced,,,,,,H29,N,11/15/16,600,11/15/16,1200,Tyler Cotter,Marcel Lefebvre,,AL2014,station/ spindle/ bearing/ chip,,inoperable,replace/ check,seal,
Accumulator side NOK -Blown bladder,Installed new accumulator from inventory,accumulator/ side/ bladder,broken,install,accumulator,,I1,Y,11/15/16,600,11/15/16,800,Sam Jett,Jon Cousineau,,T8506,accumulator/ bladder/ inventory,,broken/ blown,install,new,
Slow index,,,,no_action_taken,,,A76,N,11/15/16,600,,,Jorge Flores,Denis Kusiak,,T7065,index,,slow,,,
Coolant leak from drain pipe,Re attached and sealed,,,,,,RM224,N,11/15/16,1200,11/15/16,,Jon Clark,Alex Breault,,D26018,coolant,,leak,,,
Hyd leak at Reg wheel control valve,Replaced,hydraulic/ valve/ reg_wheel_control_valve,leak,replace,hydraulic/ valve/ reg_wheel_control_valve,,RM225,N,11/15/16,1200,11/15/16,,Jon Clark,Alex Breault,,D26036,valve/ hydraulic/ wheel,,leak,replace,control,
