Date,Mach type,Mach,Effect,Machine Area,Description,Resolution,I,NA,P,S,U,X
10/5/16,H,H14,Chip conveyor INOP,Chip Conveyor,Chip conveyor jammed,Cleared; Removed bar ends and chip nest,"conveyor, chip",,jam,"remove, clear",bar,
10/5/16,H,H34,Utility Unit O/T Fault,Utility Unit,Utility unit O/T fault,Replaced stripped belt at St#5 brushing unit and tensioned loose break on motor,"station, unit, motor, belt, brush",tension,"fault, loose, strip","replace, tension",,
10/5/16,I,I5,Hydraulic Leak,LEMCA,Multiple leaks at Iemca; 25 Gallons in 48 hours,Repaired,iemca,,leak,repair,,"multiple, hours"
10/5/16,H,H32,Table indexing on its own,Table,Table indexing on its own ......,Debris cleared from table indexing lucifer valve,"valve, table, index",,,clear,,
10/5/16,H,H16,Inverter guard broken ,Inverter,Inverter guard broken,Weld repair completed,"inverter, guard",,broken,"repair, complete, weld",,
10/5/16,RM,RM 223,Regulating wheel cannot adjust speed,Wheel,Cannot adjust reg wheel speed,Reviewed action with Orlando; No issue,"wheel, speed",,issue,adjust,,
10/5/16,RM,RM 224,Dressing unit INOP,Dressing Unit,Dressing unit INOP; Jumping and hesitation,Swapped pump and motor with spare,"unit, motor, pump",,inoperable,swap,spare,
10/5/16,I,I18,Spindle extension bearing broken,Bearings,Spindle #2 extension bearing broken,Repaired,"spindle, bearing",,broken,repair,,
10/6/16,Rosemont,Rosemont,Tumbler INOP,Tumbler,Tumbler Inop; Belt and motor mount broken,Motor purchased (10/6) Motor and belt installed (10/7),"motor, belt",,"broken, inoperable",install,"10, mount",
10/6/16,I,I1,PLC CPU not ready,,PLC; CPU not ready,Replaced Siemens I/O module #12,"module, plc",,,replace,"12, ready",
10/6/16,RM,RM 219,Ginding wheels not opening,Wheel,Grinding wheels not opening after grind,Bad microswitch replaced and set return screw,"screw, wheel",,broken,"replace, set","returning, grind",
10/7/16,TK,TK2,1083 Thermal defect,Motor,1083 Thermal defect/Motor,Reset breaker to HP coolant pump,"motor, coolant, pump, breaker",,,reset,hp,
10/7/16,H,H14,Brush unit stuck forward,Brush Unit,Brush unit not reversing correctly,Adjusted,"unit, brush",,,adjust,,
10/7/16,H,H38,Oil leak,Oil System,Oil leaks / Needs a cover,New cover installed,"oil, cover",,leak,"install, need",new,
10/7/16,H,H22,Cut off unit difficult to adjust,Cut Off Unit,Cut Off unit difficult to adjust,Removed and restored to functional use,unit,,,"remove, adjust","cut, used",
10/7/16,H,H32,Collet failure,Collet,Collet fails to close at when loading 4;  5 times per bar,Adjusted feeding pressure and ran releard mode,"pressure, collet",,,adjust,"bar, load, feeding, close, run",
10/7/16,I,I19,lemca guide channel position sensor fault,LEMCA,Iemca; Guide channel position sensor,Actual; Disconnected Hydraulic line corrected,"hydraulic, sensor, iemca, line, position, guide, channel",,,correct,,
10/7/16,H,H19,Accumulator check requested,Accumulator,Accumulator leaking,Replaced seal at accumulator connection,"accumulator, connector",,leak,replace,seal,
10/7/16,Tsch,Tsch 1,Vogel lube pump request,Vogel,Put original Vogel lube pump back on machine,Installed,"machine, pump, vogel, lubrication",lubrication,,install,,
10/7/16,MS32,MS32,Electrical connection seal tites broken,,Electrical connection seal tites broken; Safety,,"connector, electrical, safety",,broken,,seal,
10/7/16,I,I17,Hydraulic Leak,Hydraulic System,Hydraulic leak found by Doug; 3.1 quill,,hydraulic,,leak,,,
10/7/16,Deco,Deco 1,Loader not loading,Loader,Loader not loading in Auto,Only happens when the fan is blowing cold air; Gerry Costa,"loader, air, fan",,,,"load, auto",
10/7/16,I,I17,Motor alarm,Motor,Alarm # 300501 HS3 drive error in measuring circuit; Spindle Off,,spindle,,alarm,,drive,
10/7/16,H,H34,Spindle not adjusting ,Spindle,Spindle #9 difficult to adjust,,spindle,,,adjust,,
10/11/16,I,I18,No air ,LEMCA,No air present at Iemca,Found air regulator adjuster disassembled on lube tank and ruptured airline. Installed (temp) Parker air regulator and replaced airline; Ordering new FRL for this machine,"machine, iemca, air, tank, lubrication","air_line, lubrication",rupture,"replace, install, adjust","new, frl",present
10/11/16,I,I19,Hydraulic Leak,Hydraulic System,HP Hydraulic line ruptured,Replaced hydraulic line to parts catcher,"hydraulic, part, line, catcher",,rupture,replace,hp,
10/11/16,H,H30,Base leak,Base,Base leak,No Major Leak found; Percio reporting the was oil around the machine this weekend after having been shut down for a shift or two,"machine, base, oil",,leak,,"shut, major, shift",
10/11/16,H,H30,Vogel leak,Vogel,Vogel lube leak fro pressure gauge,Leak addressed prior to arrival,"pressure, vogel, lubrication",lubrication,leak,,,
10/11/16,I,I19,Actuator bearings screaming,Actuator,Actuators bearings in SP#1 and SP#2 whining (SP#2 was done 8/2),,"spindle, bearing, actuator",,,,,
10/12/16,H,H20,Bearings check,Bearings,St#11 spindle bearings worn; AP confirmed,Replaced VE 26/80 with standard 26/80; installed HSK spindle bearing package,"station, spindle, bearing",,worn,"replace, install","11, hsk, 26, 80",
10/12/16,I,I3,Chip conveyor INOP,Chip Conveyor,Chip conveyor INOP,Replaced bad breaker and cleared jam,"conveyor, chip, breaker",,"broken, inoperable, jam","replace, clear",,
10/12/16,H,H7,Conveyor clutch slipping,Conveyor,Conveyor clutch slipping,Replaced discs,"conveyor, clutch, disc",,slip,replace,,
10/12/16,H,H8,Slug detection ,Slug,Slug detection at #14 INOP / #10 CTS not working (Missing HSK cover),,cover,,"inoperable, missing",,"10, detection, hsk, 14, working",
10/12/16,TK,TK2,1083 Thermal defect,Motor,1083 Thermal defect/Motor,Jon diagnosed bad pump motor starter / Steve replaced,"motor, pump, steve, starter",,broken,replace,,
10/12/16,H,H12,Accumulator check requested,Accumulator,Accumulator check requested,Accumulator found at 30bar; No issue,accumulator,30bar,issue,"check, request",,
10/12/16,H,H21,Safety switches disabled,Electrical,Safety switches for cover diabled,,"safety, cover",,,,,
10/12/16,H,H11,Table stuck,Table,Table stuck at 1/2 table,Replaced 1/2 table solenoid,"table, solenoid",,stuck,replace,,
10/12/16,C,C54,Pressure piston INOP,,Pressure piston INOP,Repaired switch,"pressure, piston",,inoperable,repair,switch,
10/12/16,I,I18,Bar clamp alarm,Bar,Bar clamping alarms at Sp#1,,"spindle, clamp",,alarm,,bar,
10/12/16,I,I1,Turret alarm,Turret,Turret alarms,Jose corrected upon arrival; Transport prox needs to read all the time,"turret, prox",,alarm,"need, correct","transport, time",
10/13/16,H,H15,Coolant HP line Needed,Coolant System,Add HP line to St#12,Installed,"station, line",,,"install, add","hp, 12",
10/13/16,TK,TK1,Robot controller has bad keys,Electrical,Robot controller has bad keys; need new,,"controller, key",,broken,need,new,
10/13/16,H,H6,Broken screw,Screw,Stripped screw in saw attachment,Sinat removed and replaced on 3rd shift,"screw, saw, attachment",,strip,"replace, remove",shift,
10/13/16,Tsch,Tsch 2,Coolant fan alarm,Coolant System,Cooling fan alarm; Vibration in electrical cabinet,,"electrical, fan, cabinet",,alarm,,cooling,
10/13/16,H,H33,Threading unit requires rebuid,Threading Unit,ST#5H threading unit requires rebuild,,"station, unit, thread",,,"rebuild, require",,
10/13/16,A,A69,,,,,,,,,,
10/14/16,,W99,,,Coalescent for rinse tank INOP,Pump ok / leaking hose replaced / Replaced bad skimmer,"pump, hose, tank",,"broken, inoperable, leak","replace, ok",,
10/14/16,,TK1,,,Coolant pump does not stay running,Reset overload breaker,"coolant, pump, breaker",,overload,reset,running,
10/14/16,,H38,,,No coolant flow,Tripped breaker because plug was kicked out,"coolant, breaker, flow",trip,trip,,plug,
10/14/16,,H39,,,Magazine plate loose,Replaced missing screws,"screw, plate",,"loose, missing",replace,,
10/14/16,,H25,,,Operator broke 2.5mm allen tip in St#10 tool head clamp screw,Removed,"station, screw, operator, head, clamp, tool",,broken,remove,10,
10/15/16,,T92,,,Spindle #5 collet key is loose,Replaced ,"spindle, collet, key",,loose,replace,,
10/15/16,,H32,,,CNC unit stripped scew in tool clamp,Removed and replaced screw,"unit, screw, clamp, tool, cnc",,strip,"replace, remove",,
10/17/16,,H25,,,Swap #5 motor for 1700,Swapped,motor,,,swap,,
10/17/16,,TK4,,,Collet housing not aligned with key,Aligned,"collet, housing, key",,,align,,
10/17/16,,I18,,,Offload conveyor belt worn,Replaced,"conveyor, belt, offload",,worn,replace,,
10/17/16,,H22,,,Stuck in 1/2 table,Reset table and replaced sensor,"table, sensor",,stuck,"replace, reset",,
10/17/16,,I2,,,Chip conveyor INOP,Replaced broken clutch discs,"conveyor, chip, clutch, disc",,"broken, inoperable",replace,,
10/17/16,,SC10,,,Q4 gib jammed,Tapped gib loose,,,"loose, jam",,,
10/18/16,,I2,,,Turret axix alarms,Showed Jared how to clear,"turret, axis",,alarm,clear,,
10/18/16,,H34,,,Leak under machine; will require base removal,,"machine, base",,leak,require,,
10/18/16,,H29,,,Split filter setup for Autoliv,Completed,filter,,,"complete, setup",,
10/18/16,,H40,,,Accumulator check requested,LP at 10bar charged to 30bar / HP at 50bar OK,"accumulator, low_pressure",30bar,,"check, request, charge, ok","hp, 50bar",
10/18/16,,H23,,,Bearing check St#12 26/80,Bearings worn; New bearings installed on 26/80 spindle front end,"station, spindle, bearing",,worn,"check, install","new, 12, end, 26, 80",
10/18/16,,H25,,,#3 recess unit spindle bearings check,Installed shelf recess spindle (was for H29 AL2017 S/U),"unit, spindle, bearing, shelf",,,"check, install",,
10/18/16,,I5,,,Iemca hydraulic tubes leaking; again,New tubes (in stock) ordered 10/19 Installed 10/22,"hydraulic, iemca, tube, stock",,leak,"install, order","new, 10",
10/18/16,,Mikron,,,Incomplete table indexing,,"table, index",,,,,
10/18/16,,RM219,,,Hydraulics down Monday night,Replaced Auto Cycle limit switch and 12v control fuse,"hydraulic, fuse",,,replace,"switch, control, cycle, auto, limit",
10/18/16,,I2,,,Air manifold leaking at rear of machine,Repaired with new gasket,"machine, air, rear",,leak,repair,new,
10/18/16,,T92,,,Install chip scraper,Installed,"chip, scraper",,,install,,
10/18/16,,RM223,,,Excessive play in Regulating wheel action,Replaced Regulating wheel block and drive housing,"wheel, housing",,,replace,"drive, play, regulating, excessive, block",
10/18/16,,I18,,,Iemca accumulator NOK,Replaced with sotck accumulator,"accumulator, iemca, stock",,broken,replace,,
10/19/16,,H5,,,Bottom XD leaking hyd,Replaced bottom XD head and valve,"valve, hydraulic, head, cross_drill",,leak,replace,,
10/19/16,,Ewag,,,Operator cannot remove filter,"Removed, cleaned, and replaced; Took 8 hours!","operator, filter",,,"replace, remove, clean",,hours
10/19/16,,H15,,,CNC hydraulic filter changed,NNZX3 Filter,"hydraulic, filter, cnc",,,,,
10/19/16,,H27,,,Bar feeder chain catching on guard housing,Guard mounting bracket found loose. All tensioned and guards put back in place,"chain, feeder, housing, guard, bracket",tension,loose,tension,"bar, mounting",
10/20/16,,Deco 3,,,Y1 Axis encoder cable NOK; Faulting machine,Cable replaced and axis referrenced,"machine, cable, axis, encoder",,"broken, fault",replace,,
10/20/16,,H25,,,Accumulator check requested,LP at 25bar (OK) chaged to 30bar / HP at 50bar (OK),"accumulator, low_pressure",30bar,,"check, request, ok","hp, 50bar, 25bar",
10/20/16,,SC3,,,Iemca slow / Short parts,Steve Salley adjusted operating pressures!!,"pressure, part, iemca, steve",,"short, slow",adjust,,
10/20/16,,H39,,,Coolant leak,,coolant,,leak,,,
10/20/16,,H32,,,Bar feeder chain broken,Replaced links X3 and tensioned accordingly,"chain, feeder",tension,broken,"replace, tension",bar,
10/20/16,,H25,,,St#6 spindle bearings check,Replaced pulley adapter sleeve,"station, spindle, bearing, pulley",,,"replace, check",,
10/20/16,,T99,,,Main tool slide rolls loose,,"tool, slide",,loose,,main,
10/20/16,,I18,,,Short parts when loading,Feed length issue; Not Maintenance,part,,"issue, short",,"feed, load",
10/20/16,,H23,,,St#2 Tool Detection INOP,Replaced by Russ; Unit found on H15 ,"station, unit, tool, person",,inoperable,replace,detection,
10/20/16,,H40,,,Smog Hog connection?,Replaced gate with reducer,"connector, gate",,,replace,,
10/20/16,,Tumblers,,,Water pump NOK,Bad pump,"pump, water",,broken,,,
10/20/16,,H29,,,Tool detection wire possibly bad,Wire issued to Tony to install on laser TD,"tool, wire, person, laser",,broken,install,detection,
10/20/16,,TK1,,,HP coolant pump will not shut off,Replaced bad contactor,"coolant, pump, contactor",,broken,replace,"hp, shut",
10/21/16,,H24,,,Table drifting   ,Table valve OK-Indexing rack needs rebuild (10/26); Indexer rebuilt (11/15),"valve, table, index, rack",,,"ok, rebuild, need","11, 10, 26",
10/21/16,,H29,,,St#5V valve issue; Needs an Inf approach valve,Installed,"station, valve",,issue,"install, need",,
10/21/16,,H8,,,St#3 recess unit bearings,Recess unit rebuild,"station, unit, bearing",,,rebuild,,
10/21/16,,RM223,,,Major leak at dressing unit,Replaced dresser control valve with rebuilt unit,"unit, valve",,leak,"replace, rebuild","control, major",
10/21/16,,H28,,,Hyd leak at #10 valve,Replaced Orings under valve; One missing,"valve, hydraulic",,"leak, missing",replace,10,
10/21/16,,H2,,,Table index O/T faults,,"table, index",,fault,,,
10/21/16,,H37,,,Table index O/T faults,,"table, index",,fault,,,
10/21/16,,H34,,,#12 brushing unit INOP,Replaced contactors (JG) Motor replaced by Steve,"unit, motor, brush, contactor, steve",,inoperable,replace,12,
10/21/16,,A77,,,Counter INOP,Connected loose wire,"wire, counter",,"inoperable, loose",,,
10/21/16,,H26,,,Chip conveyor overload warning,,"conveyor, chip",,overload,,,
10/21/16,,H29,,,Catch pan grate needed,Completed,,,,"complete, need",,
10/21/16,,H15,,,Filter can lid damaged,Weld repair made,filter,,broken,"repair, weld",,
10/22/16,,H34,,,Motor loose on St#12 brushing unit,Tensioned bolts,"station, unit, motor, brush, bolt",tension,loose,tension,12,
10/22/16,,H14,,,Cut Off valve leak,Replaced O Rings on valve and plate,"valve, plate, ring",,leak,replace,cut,
10/24/16,,I19,,,Coolant missing alarm,Replaced coolant missing prox,"coolant, prox",,"alarm, missing",replace,,
10/24/16,,Deco 1,,,Alarm : Turn CNC off/on will not clear,Alarm cleared,cnc,,alarm,clear,turn,
10/24/16,,H30,,,Coolant leak ,No leak; Oil is coming from H21 with no skirt,"coolant, oil",,leak,,,
10/24/16,,H20,,,Adjusting dowels on both verical risers need to be replaced,,vertical,,,"replace, adjust, need",,
10/24/16,,H3,,,Stripped screw in saw attachment,Replaced diff screw and clamps,"screw, clamp, saw, attachment",,strip,replace,,
10/24/16,,H6,,,Accumulator check,LP ruptured bladder; replaced / HP at 40bar charged to 50bar,"accumulator, low_pressure, bladder",,rupture,"replace, check, charge","hp, 50bar",
10/24/16,,H29,,,Laser TD NOK / Coolant pump BRK tripping / Table moving with lid open,Replaced cable for laser / Plugged in coolant pump / Alex reports No Table Issue at This Time,"coolant, table, pump, cable, person, laser",trip,"broken, issue, trip","replace, report","open, time",
10/24/16,,AIM Rm 1,,,Leak tester dryer NOK,Replaced solenoid,solenoid,,"broken, leak",replace,,
10/25/16,,H6,,,Inverter issues / Accumulator (replaced yesterday) pressure spiking,Replaced accumulator,"accumulator, pressure, inverter",,issue,replace,,
10/25/16,,I18,,,Hydraulic pressure not coming up,Replaced hydraulic pump motor,"motor, hydraulic, pump, pressure",,,replace,,
